2,5,dc,140691463,2.405057,1327.757396,2.8e-5,0.074557,0.000379,6.814496,3.151186,3.224046,1.0,1.10646,1.08,21.59,5.56,-1.96,5.8,0.000932,2.1,2.1,-1.96,2,9333,301,1.000319,0.000931,319.983019,347.283995,331.252919,323.732936,12.0166,5638.0,4.35019,0.0008,0.0,157.01
3,5,dc,140691463,4.060851,1329.191665,2.9e-5,0.154312,0.000327,6.424753,2.059372,2.821339,1.0,1.10646,1.1,19.55,2.1,1.8,6.2,0.000929,2.5,2.5,1.8,4,8767,342,1.002697,0.000927,371.459908,396.846068,379.394303,379.090904,12.0166,5638.0,4.35019,0.0009023809523809522,0.044444444444444446,157.01
1,5,dn,140691463,1.376116,1327.500565,3.7e-5,0.07087,0.000286,6.933375,3.284491,3.35748,1.0,1.10646,1.3,26.85,4.63,12.87,7.4,0.000915,3.3,3.3,4.63,11,9496,494,1.00368,0.000911,635.766015,668.820076,646.594779,654.834619,12.0166,5638.0,4.35019,0.003996825396825397,0.0,157.01
4,2,dc,140893722,3.414278,1331.2459,2.1e-5,0.133157,0.00026,5.939206,1.046165,1.802965,0.7,0.737084,1.25,19.83,13.08,7.18,6.0,0.000808,1.9,1.9,7.18,7,9227,351,1.002746,0.000806,432.582778,458.269716,451.527207,445.626469,11.5872,4468.0,4.54813,0.0007333333333333333,0.0,6900.01
0,2,dn,140893722,46.899648,1366.479879,3.6e-5,0.211048,0.00092,7.029711,2.008784,2.814406,0.7,0.737084,3.22,99.36,15.63,29.75,9.7,0.00082,3.3,3.3,15.63,123,9836,40,1.005579,0.000816,112.591371,215.636203,131.913303,146.030745,11.5872,4468.0,4.54813,0.0010472222222222222,0.0,6900.01
2,5,dc,140893722,46.155939,1367.935117,2.7e-5,0.253858,0.001062,8.157648,-1.279745,2.542502,0.7,0.737084,1.85,56.29,11.42,14.18,8.2,0.000845,1.7,1.8,11.42,80,9787,36,1.000651,0.000844,57.264211,117.13589,72.265872,75.027689,11.5872,4468.0,4.54813,0.0019440476190476191,0.0,6900.01
3,5,dc,140893722,112.473297,1413.39569,2.7e-5,0.224947,0.001622,9.056283,0.088455,0.578119,0.7,0.737084,1.38,71.32,8.85,5.4,7.8,0.00084,2.3,2.0,5.4,213,9698,21,1.000108,0.00084,22.057548,96.423655,33.955745,30.503383,11.5872,4468.0,4.54813,0.03023373015873016,0.0,6900.01
4,5,dc,140893722,13.921438,1346.794681,2.7e-5,0.1949,0.000419,5.483634,0.86026,1.403044,0.7,0.737084,1.3,37.9,5.81,7.85,6.8,0.000838,1.8,2.2,5.81,26,9656,147,1.002418,0.000836,184.016453,226.910987,194.812479,196.85319,11.5872,4468.0,4.54813,0.0011746031746031743,0.6796875,6900.01
0,5,dn,140893722,128.784457,1539.907952,3.8e-5,0.193177,0.001534,7.789918,-0.655139,-0.30623,0.7,0.737084,13.02,84.53,88.44,88.44,9.0,0.000866,2.3,2.6,84.53,115,9825,15,1.013078,0.000855,130.155363,217.39155,221.305597,221.305593,11.5872,4468.0,4.54813,0.017032539682539684,0.0,6900.01
1,5,dn,140893722,142.168892,1555.540932,3.6e-5,0.284338,0.001984,9.92461,-1.79689,1.081568,0.7,0.737084,3.72,123.67,38.8,21.4,10.7,0.000849,3.0,2.7,21.4,243,9793,17,1.002197,0.000848,44.695655,171.203047,86.324045,68.929232,11.5872,4468.0,4.54813,0.008424603174603173,0.0,6900.01
